asin,category,brand,global_min,global_max,global_norm_sd,log_mean_price
B0F3MMK1J4,172282,AOC,49.99,123.02,0.32405627134019005,4.384024637336554
B08PZDSP2Z,172282,Apple,379.99,550.0,0.08754598160202716,6.169769982536663
B09VM2TBZF,172282,Skullcandy,9.88,39.99,0.17506287534295986,3.440135159045919
B0BQPSX5CR,172282,ASUS,347.36,499.0,0.07256110248234277,6.100605178226609
B0C1Q9QDQP,172282,JBL,39.95,109.95,0.3355684356819987,4.231858255192658
B0C29CMM4R,172282,Sony,38.0,59.99,0.1492907309806374,3.9534528151912856
B0DVZY44YR,172282,Samsung,499.99,749.99,0.11036474726803315,6.40976854942428
B019Y7VLUM,172282,Skar Audio,33.99,93.49,0.10607710579422118,4.127727236318681
B071J1BPHW,172282,DS18,38.37,79.99,0.15195320449061225,4.193808078689807
B08J7QWJ91,172282,PERLESMITH,38.91,68.34,0.09883339005791866,3.907462002566192
B09D5PW315,172282,Garmin,174.29,299.99,0.12110193242516928,5.503625799195505
B00DESZGFO,172282,ORION,13.54,33.92,0.14112218591328188,3.2973137948838818
B07BDQQVN2,172282,WALI,26.58,99.99,0.16164712601145678,3.6566414274646784
B082KJCR7N,172282,Meta,381.65,449.0,0.05758994955171056,6.035523787890991
B08N67H3CK,172282,Addtam,7.47,24.51,0.13103464972341416,2.601385296924399
B09NBVS84T,172282,Logitech,65.0,107.99,0.09274260149744322,4.550702295437841
B0FFCKFWQX,172282,AOC,229.99,289.99,0.09652667164026747,5.5962529417135345
B08NLCW9WY,172282,JBL,149.99,379.95,0.2135663922020307,5.611669832447857
B0BCH5H2R3,172282,Roku,11.99,34.98,0.1490911993661366,3.2984198701786784
B0BJDY6D1W,172282,WiiM,112.82,169.0,0.09130567514748296,4.992977749080527
B0CQ1CVW3Z,172282,JBL,49.88,129.99,0.21283250607692017,4.645261684252716
B0DR9LFNGX,172282,Samsung,129.99,196.65,0.11266703700465072,5.111209433550115
B0F1FR8V1T,172282,IZLTUV,37.98,53.87,0.1262104495300573,3.892840186011372
B07YVMJFB9,172282,Taramp's,77.59,99.19,0.08448021532617854,4.430229891953276
B08D1VF18M,172282,LG,32.29,49.99,0.13195240427952612,3.7761078214483472
B08GNHJB6X,172282,NVIDIA,28.5,40.99,0.138999538912882,3.5466604330918483
B0BF6T86WD,172282,Canon,99.0,179.0,0.12137300191658087,4.8171320581916515
B0C1KPXPM9,172282,Samsung,196.99,379.99,0.11849055681755405,5.707093594058725
B0CMC2FZFD,172282,LG,136.99,202.95,0.08785588906780568,5.121234525229207
B0CTJR2C5X,172282,Soundcore,39.99,69.99,0.14189172867934577,4.1560196125374524
B003L1717K,172282,Monoprice,3.2,11.69,0.22252448766001318,1.9894981543595143
B073QX1ZMS,172282,ECHOGEAR,57.92,141.95,0.21229682976062936,4.591114082418157
B07K1L5N7H,172282,WALI,25.19,43.03,0.08842418374577031,3.561049921663021
B0BVWNK619,172282,Sakar,12.45,24.99,0.13231637333815233,3.004014061153437
B0CLNBSHBY,172282,LecLooc,8.99,13.11,0.09623706775129767,2.6112455718310184
B0D1XH8NJP,172282,Amazon Basics,14.38,26.58,0.1474353790317296,2.972927923369818
B0D2FSYS5J,172282,LG,186.99,299.99,0.08967296757494381,5.61934115892249
B0846VRJV8,172282,Skar Audio,156.07,229.99,0.17298579821911708,5.219458124968828
